CMDLINE ./runbudack.sh
CHLD 4 38.085938 1636587806.0616
MEM 3.492188 1636587806.1619
CHLD 0 20.031250 1636587806.1651
CHLD 1 38.265625 1636587806.1651
CHLD 2 37.843750 1636587806.1651
CHLD 3 38.027344 1636587806.1652
CHLD 4 38.085938 1636587806.1652
MEM 3.492188 1636587806.2654
CHLD 0 20.031250 1636587806.2681
CHLD 1 38.265625 1636587806.2682
CHLD 2 37.843750 1636587806.2682
CHLD 3 38.027344 1636587806.2682
CHLD 4 37.910156 1636587806.2682
MEM 3.492188 1636587806.3685
CHLD 0 20.031250 1636587806.3714
CHLD 1 38.265625 1636587806.3714
CHLD 2 37.843750 1636587806.3714
CHLD 3 38.027344 1636587806.3714
CHLD 4 37.910156 1636587806.3714
MEM 3.492188 1636587806.4717
CHLD 0 20.031250 1636587806.4750
CHLD 1 38.265625 1636587806.4750
CHLD 2 37.843750 1636587806.4750
CHLD 3 38.027344 1636587806.4750
CHLD 4 37.910156 1636587806.4750
MEM 3.492188 1636587806.5753
CHLD 0 20.031250 1636587806.5780
CHLD 1 64.234375 1636587806.5781
CHLD 2 54.398438 1636587806.5781
CHLD 3 54.566406 1636587806.5781
CHLD 4 38.312500 1636587806.5781
MEM 3.492188 1636587806.6784
CHLD 0 20.031250 1636587806.6817
CHLD 1 65.687500 1636587806.6817
CHLD 2 54.398438 1636587806.6817
CHLD 3 54.566406 1636587806.6817
CHLD 4 38.312500 1636587806.6818
MEM 3.492188 1636587806.7820
CHLD 0 20.031250 1636587806.7846
CHLD 1 65.687500 1636587806.7847
CHLD 2 54.398438 1636587806.7847
CHLD 3 54.566406 1636587806.7847
CHLD 4 38.312500 1636587806.7847
MEM 3.492188 1636587806.8850
CHLD 0 20.031250 1636587806.8876
CHLD 1 11.054688 1636587806.8876
CHLD 2 53.195312 1636587806.8876
CHLD 3 53.464844 1636587806.8877
CHLD 4 37.109375 1636587806.8877
